pdf contribution,dr,Ephi,tres,eX,eY,eZ,eT,eZenith,eAzimuth
4.98176, 59.0715, 0.401272, -2.51297, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
4.95573, 59.0715, 0.401272, -2.47846, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
4.82725, 59.0715, 0.401272, -2.30644, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
4.73963, 59.0715, 0.401272, -2.18778, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
4.72367, 59.0715, 0.401272, -2.16606, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
4.26685, 59.0715, 0.401272, -1.53385, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.8039, 59.0715, 0.401272, -0.842849, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.6296, 59.0715, 0.401272, -0.569922, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.56872, 59.0715, 0.401272, -0.471888, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.52641, 59.0715, 0.401272, -0.403006, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.51716, 59.0715, 0.401272, -0.387883, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.4087, 59.0715, 0.401272, -0.209348, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.34956, 59.0715, 0.401272, -0.111226, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.32906, 59.0715, 0.401272, -0.0770578, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.27116, 59.0715, 0.401272, 0.020151, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.20402, 59.0715, 0.401272, 0.134964, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.18982, 59.0715, 0.401272, 0.159632, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.10726, 59.0715, 0.401272, 0.306709, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.105, 59.0715, 0.401272, 0.310831, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.09575, 59.0715, 0.401272, 0.327759, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.97321, 59.0715, 0.401272, 0.555462, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.95958, 59.0715, 0.401272, 0.580347, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.95771, 59.0715, 0.401272, 0.583755, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.92149, 59.0715, 0.401272, 0.648688, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.86147, 59.0715, 0.401272, 0.753977, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.72195, 59.0715, 0.401272, 1.01642, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.64393, 59.0715, 0.401272, 1.18538, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.59976, 59.0715, 0.401272, 1.28534, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.55584, 59.0715, 0.401272, 1.38612, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.50019, 59.0715, 0.401272, 1.51537, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.48239, 59.0715, 0.401272, 1.55728, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.40159, 59.0715, 0.401272, 1.75463, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.36543, 59.0715, 0.401272, 1.84854, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.34091, 59.0715, 0.401272, 1.91496, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.25013, 59.0715, 0.401272, 2.1876, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.24311, 59.0715, 0.401272, 2.21092, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.19791, 59.0715, 0.401272, 2.37179, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.18216, 59.0715, 0.401272, 2.43319, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.13412, 59.0715, 0.401272, 2.64553, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.08768, 59.0715, 0.401272, 2.91605, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.08445, 59.0715, 0.401272, 2.93954, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.08436, 59.0715, 0.401272, 2.94022, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.06879, 59.0715, 0.401272, 3.07038, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.06679, 59.0715, 0.401272, 3.09, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.04722, 59.0715, 0.401272, 3.40756, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.04604, 59.0715, 0.401272, 3.50588, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.04701, 59.0715, 0.401272, 3.59864, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.05024, 59.0715, 0.401272, 3.69747, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.05064, 59.0715, 0.401272, 3.70655, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.05239, 59.0715, 0.401272, 3.74159, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.06409, 59.0715, 0.401272, 3.90444, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.06587, 59.0715, 0.401272, 3.92395, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.06695, 59.0715, 0.401272, 3.93534, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.0679, 59.0715, 0.401272, 3.94507, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.1005, 59.0715, 0.401272, 4.20496, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
